city,link,price,title,location,builtArea,usableArea,bedrooms,bathrooms,floor,age,condition,garage,orientation,energyCertificate,communityExpenses,airConditioning,elevator,houseHeating,houseHeatingType,terrace,swimmingPool,swimmingPoolType,houseType,photo,postal_code,lat,lon
malaga,https://www.pisos.com/comprar/apartamento-centro_huerta_nueva-31749549891_526029/,205.800,Piso en venta en Calle de los Herradores,Teba,148.0,148.0,4.0,2.0,1ª,,En buen estado,1,Sur,,,,False,False,,True,False,,,https://fotos.imghs.net/l/993874/34243975953.993874/993874_34243975953_1_20230525162834146.jpg,29327.0,36.98132441,-4.92158172
malaga,https://www.pisos.com/comprar/piso-malaga_capital_zona_urbana-35021985588_526471/,370.000,"Casa adosada en venta en , Zona de Playa, Cerca del Mar, Cerca del Golf, Cerca del Lago, Cerca de La Marina, Cerca del Puerto",Almayate (Vélez-Málaga),227.0,,5.0,2.0,,,,",","Sureste,",,,,False,False,,True,True,"Si,",Adosada,https://fotos.imghs.net/l/1089/079/1089_XA109-S48079_3_2023020216173331250.jpg,29700.0,36.7827081,-4.10210923
malaga,https://www.pisos.com/comprar/piso-el_paraiso_atalaya_benamara-31739633589_518427/,137.500,Piso en venta en Camino de Suárez,Camino de Suárez (Distrito Bailén-Miraflores. Málaga Capital),51.0,,2.0,,2ª,,En buen estado,,,,,,True,False,,False,False,,,https://fotos.imghs.net/l/1002/140/1002_513140_10_2023053113050825160.jpeg,29001.0,36.72034267,-4.41997511
malaga,https://www.pisos.com/comprar/piso-lomas_de_marbella_club_puente_romano29660-34175836191_518877/,200.000,"Finca rústica en venta en , en El Campo, Zona Rural",Área de Triana-Cabrillas-Trapiche (Vélez-Málaga),,,,,,,,",","Todo el dia,",,,,False,False,,False,False,,,https://fotos.imghs.net/l/1089/446/1089_XA109-S39446_1_2021062115204231250.jpg,29700.0,36.7827081,-4.10210923
malaga,https://www.pisos.com/comprar/casa-vinagrande_el_limon_fuensanguinea-31757790623_106700/,350.000,Ático en venta en Cruz de Humilladero - Cruz de Humilladero/Los Tilo,El Torcal-Nuevo San Andrés-Dos Hermanas (Distrito Carretera de Cádiz. Málaga Capital),114.0,,4.0,3.0,4ª,Entre 30 y 50 años,En buen estado,,,,,,True,True,"Si, sin especificar",False,False,,,https://fotos.imghs.net/l/1069/355/1069_I000328-P000355_1_2023010414211731250.jpg,29001.0,36.72034267,-4.41997511
malaga,https://www.pisos.com/comprar/apartamento-la_chullera-27521287340_106000/,488.000,Casa en venta en Marbella,Casco Antiguo (Distrito Centro. Marbella),220.0,,4.0,3.0,,,En buen estado,,,,,,False,True,"Si, sin especificar",True,False,,,https://fotos.imghs.net/l/1069/225/1069_I000328-C000225_1_2023052322215031250.jpg,29601.0,36.50963847,-4.88406637
malaga,https://www.pisos.com/comprar/piso-centro_casco_antiguo-29258078920_997608/,625.000,Chalet en venta en Churriana - Cortijo de Maza - Finca Monsalvez - El Olivar,Cortijo de Maza-Finca Monsálvez-El Olivar (Distrito Churriana. Málaga Capital),991.0,,4.0,3.0,,,,1,,,,,False,False,,True,False,,,https://fotos.imghs.net/l/1018/595/1018_31007595_0_2022112121115024735.jpg,29001.0,36.72034267,-4.41997511
malaga,https://www.pisos.com/comprar/piso-la_carihuela-35039038892_526568/,1.550.000,Casa en venta en Costa Natura,La Gaspara-Bahía Dorada-Buenas Noches (Estepona),455.0,,4.0,5.0,,Entre 10 y 20 años,En buen estado,,,,,,False,False,,True,True,Con piscina,,https://fotos.imghs.net/l/1038/262/1038_0258-70262_1_2023051000035531250.jpg,29680.0,36.42657668,-5.1463572
malaga,https://www.pisos.com/comprar/chalet_pareado-vinagrande_el_limon_fuensanguinea-34185347505_106000/,68.000,Piso en venta en Coín,Coín,62.0,,3.0,1.0,,,En buen estado,,,,,,False,True,,False,False,,,https://fotos.imghs.net/l/1002/842/1002_546842_1_2023052919050964451.jpeg,29100.0,36.65987005,-4.75958685
malaga,https://www.pisos.com/comprar/duplex-rincon_de_la_victoria_rincon-25093370044_100500/,149.000,Casa adosada en venta en Coín,Coín,114.0,,3.0,2.0,,,Reformado,,,,,,False,True,,False,False,,Adosada,https://fotos.imghs.net/l/1002/109/1002_540109_1_2023032812030813016.jpeg,29100.0,36.65987005,-4.75958685
malaga,https://www.pisos.com/comprar/apartamento-urbanizacion_el_hacho_la_duquesa_golf-29261599827_514533/,185.000,Piso en venta en Plaza del Conde de Ferrería,La Virreina-Jardín Botánico-La Rosaleda (Distrito La Rosaleda-La Roca. Málaga Capital),78.0,66.0,3.0,1.0,1ª,Entre 30 y 50 años,Reformado,,Oeste,,Entre 20 y 40€,Frío y calor,True,True,Eléctrica,False,False,,,https://fotos.imghs.net/l/525322/32578475630.525322/525322_32578475630_1_20230331114930504.jpg,29001.0,36.72034267,-4.41997511
