city,link,price,title,location,builtArea,usableArea,bedrooms,bathrooms,floor,age,condition,garage,orientation,energyCertificate,communityExpenses,airConditioning,elevator,houseHeating,houseHeatingType,terrace,swimmingPool,swimmingPoolType,houseType,photo,latitude,longitude
0,https://www.pisos.com/comprar/piso-el_pinillo29620-30095059584_101800/,670.0,"Chalet en venta en Calle Carretera Cortijo los Toros 1, nº 1",Parque Victoria-Sierra-Cortijos (Rincón de la Victoria),500.0,500.0,10.0,6.0,,Entre 20 y 30 años,,,,,,,0,1,,1,1,,,https://fotos.imghs.net/l/1087/408/1087_UVC47-92408_1_2023032405111831250.jpg,36.722974,-4.369858
0,https://www.pisos.com/comprar/piso-camino_de_suarez29010-26742804672_996965/,169.9,"Piso en venta en Calle Morche, 279",Núcleo (Torrox),66.0,60.0,2.0,2.0,1.0,Entre 10 y 20 años,En buen estado,2,Oeste,,,,1,0,,1,1,Comunitaria,,https://fotos.imghs.net/l/518873/31692440285.518873/518873_31692440285_21_20230213191736745.jpg,36.751439,-4.072901
0,https://www.pisos.com/comprar/atico-torrecilla_la_canada29602-32504335866_525984/,475.0,"Apartamento en venta en Avenida del Duque de Ahumada, 4",Playa Bajadilla-Puertos (Distrito Centro. Marbella),56.0,56.0,1.0,1.0,12.0,Entre 30 y 50 años,A estrenar,,Sur frontal al mar,,,Frío y calor,0,1,Eléctrica,1,0,,,https://fotos.imghs.net/l/999211/31696788646.999211/999211_31696788646_1_20230222204052208.jpg,36.497322,-4.705131
0,https://www.pisos.com/comprar/chalet-la_capellania_el_higueron29630-30017914331_100500/,68.0,Chalet en venta en Calle Parrilla,Villanueva de Algaidas,201.0,173.0,3.0,1.0,,,A reformar,,,,,,0,0,,0,0,,,https://fotos.imghs.net/l/1005/326/1005_3629326_1_2023031412030700551.jpg,36.691878,-4.4505
0,https://www.pisos.com/comprar/apartamento-castillo_de_la_duquesa-30020033536_514533/,210.0,"Piso en venta en Plaza de la Escamilla, 5",Coín,130.0,110.0,3.0,2.0,4.0,Entre 30 y 50 años,A reformar,,Suroeste,,,,1,0,,1,0,,,https://fotos.imghs.net/l/523428/32519034198.523428/523428_32519034198_12_20230313170506721.jpg,36.903133,-4.336237
0,https://www.pisos.com/comprar/casa_adosada-humilladero_centro_urbano-96689427519_100500/,194.0,Piso en venta en Centro,Centro (Torremolinos),76.0,74.0,3.0,1.0,0.0,,,1,Noreste,,,,0,0,,0,1,Comunitaria,,https://fotos.imghs.net/l/1005/723/1005_183792189723_1_2023032018033064263.jpg,36.716858,-4.499754
0,https://www.pisos.com/comprar/chalet-manantiales_cortijo_zapata-25040916329_100500/,298.0,Piso en venta en Calle Copa Ryder,La Gaspara-Bahía Dorada-Buenas Noches (Estepona),100.0,,2.0,2.0,,,En buen estado,,Sur,,,,0,0,,1,1,,,https://fotos.imghs.net/l/1005/363/1005_100893363_1_2023032222034564311.jpg,36.420439,-5.16255
0,https://www.pisos.com/comprar/casa_adosada-campanillas_distrito29591-30917746128_109300/,349.9,"Casa pareada en venta en Avenida de Andalucía, 9",Benahavís,115.0,115.0,2.0,3.0,,Entre 30 y 50 años,En buen estado,,A la montaña,,No hay comunidad,,0,1,Central,1,0,,Pareada,https://fotos.imghs.net/l/3373/80924177185.337300/3373_80924177185_16_20180309134141233.jpg,36.716514,-4.43012
0,https://www.pisos.com/comprar/piso-perchel_sur_plaza_de_toros_vieja29002-32554423563_100500/,495.0,Piso en venta en Calle Alcazaba Hills,Área de Casares (Casares),104.0,,2.0,2.0,,,En buen estado,,Sur,,Más de 100€,,1,0,,1,1,,,https://fotos.imghs.net/l/1005/878/1005_100580878_1_2023022222025495264.jpg,36.720718,-4.416014
0,https://www.pisos.com/comprar/atico-los_boliches-28376618901_100500/,,Casa en venta en Calle Asmterdam,La Campana-Altos del Rodeo (Distrito Nueva Andalucía. Marbella),,295.0,4.0,4.0,,,A estrenar,Más de 2,,,,Frío y calor,0,0,,0,1,Propia,,https://fotos.imghs.net/l/525836/30877451027.525836/525836_30877451027_1_20230113201716184.jpg,36.420439,-5.16255
