city,link,price,title,location,builtArea,usableArea,bedrooms,bathrooms,floor,age,condition,garage,orientation,energyCertificate,communityExpenses,airConditioning,elevator,houseHeating,houseHeatingType,terrace,swimmingPool,swimmingPoolType,houseType,photo,latitude,longitude,geometry
1,https://www.pisos.com/alquilar/piso-villaviciosa_de_odon_centro-31679247359_514034/,1250.0,Piso en alquiler en Calle del Abrevadero,Centro (Villaviciosa de Odón),110.0,100.0,3.0,2.0,1.0,Entre 30 y 50 años,En buen estado,1,Oeste,,,Frío y calor,0,1,Gas natural,1,1,Comunitaria,,https://fotos.imghs.net/l/514034/31679247359.514034/514034_31679247359_1_20230215115443468.jpg,40.462564,-3.653116,POINT (-3.653116 40.462564)
1,https://www.pisos.com/alquilar/piso-valdeacederas28039-32571060868_100500/,850.0,Piso en alquiler en Calle del Ágave,Valdeacederas (Distrito Tetuán. Madrid Capital),55.0,50.0,2.0,1.0,,,En buen estado,,Este,,,,0,0,,0,0,,,https://fotos.imghs.net/l/1005/709/1005_100890709_3_2023032222030416789.jpg,40.462564,-3.653116,POINT (-3.653116 40.462564)
1,https://www.pisos.com/alquilar/piso-tetuan_almenara28029-31681248270_100500/,1700.0,Piso en alquiler en Calle del Ailanto,Almenara (Distrito Tetuán. Madrid Capital),80.0,,2.0,2.0,3.0,,En buen estado,1,,,,,1,1,Central,0,1,Comunitaria,,https://fotos.imghs.net/l/1005/215/1005_3670215_4_2023021318022004168.jpg,40.462564,-3.653116,POINT (-3.653116 40.462564)
1,https://www.pisos.com/alquilar/piso-tetuan_almenara28029-31760079080_101000/,825.0,"Piso en alquiler en Calle del Ailanto, 48",Almenara (Distrito Tetuán. Madrid Capital),50.0,45.0,1.0,1.0,,,En buen estado,,Sudeste,,,Frío y calor,1,0,,0,0,,,https://fotos.imghs.net/l/1010/077/1010_210577_5_2022040608313031250.jpg,40.470313,-3.69404,POINT (-3.69404 40.470313)
1,https://www.pisos.com/alquilar/piso-ibiza28009-31675084570_100500/,1700.0,Piso en alquiler en Calle del Alcalde Sáinz de Baranda,Ibiza (Distrito Retiro. Madrid Capital),95.0,,3.0,2.0,,,En buen estado,,Sur,,,,1,0,,0,0,,,https://fotos.imghs.net/l/1005/780/1005_35707780_1_2023020312024890273.jpg,40.417385,-3.667024,POINT (-3.667024 40.417385)
1,https://www.pisos.com/alquilar/piso-ibiza28009-945856910001267_109800/,850.0,"Piso en alquiler en Calle del Alcalde Sáinz de Baranda, 34, cerca de Calle de Fernán González",Ibiza (Distrito Retiro. Madrid Capital),36.0,30.0,1.0,1.0,3.0,Más de 50 años,Reformado,,Sureste,,Entre 40 y 60 €,Frío y calor,1,1,Eléctrica,0,0,,,https://fotos.imghs.net/l/1098/267/1098_0_foto_20230227131830340_945856910001267.jpg,40.416597,-3.674048,POINT (-3.674048 40.416597)
1,https://www.pisos.com/alquilar/piso-ibiza28009-31690216235_521707/,1200.0,"Piso en alquiler en Calle del Alcalde Sáinz de Baranda, 7, cerca de Calle de Narváez",Ibiza (Distrito Retiro. Madrid Capital),45.0,40.0,2.0,1.0,0.0,,A estrenar,,,,,,0,1,Gas natural,0,0,,,https://fotos.imghs.net/l/521707/31690216235.521707/521707_31690216235_1_20230221190120124.jpg,40.417149,-3.676957,POINT (-3.676957 40.417149)
1,https://www.pisos.com/alquilar/piso-ibiza28009-32582364807_100500/,870.0,"Piso en alquiler en Calle del Alcalde Sáinz de Baranda, cerca de Calle de Narváez",Ibiza (Distrito Retiro. Madrid Capital),50.0,45.0,1.0,1.0,0.0,,En buen estado,,,,,,1,1,,0,0,,,https://fotos.imghs.net/l/1005/047/1005_3688047_1_2023031710030435844.jpg,40.417385,-3.667024,POINT (-3.667024 40.417385)
1,https://www.pisos.com/alquilar/piso-san_blas_amposta-30022845692_100500/,780.0,Piso en alquiler en Calle del Algodón,Amposta (Distrito San Blas. Madrid Capital),56.0,,3.0,1.0,4.0,,En buen estado,,,,,,0,0,,1,0,,,https://fotos.imghs.net/l/1005/980/1005_2001_20010001_980_1_2022120913124031976.jpeg,40.462564,-3.653116,POINT (-3.653116 40.462564)
1,https://www.pisos.com/alquilar/piso-las_margaritas_universidad28903-31677239692_100500/,760.0,Piso en alquiler en Calle del Alhelí,Las Margaritas-Universidad (Getafe),64.0,,3.0,1.0,4.0,,En buen estado,,,,,,0,0,,0,0,,,https://fotos.imghs.net/l/1005/806/1005_2001_20010008_6_39_2023022312024915655.jpeg,40.462564,-3.653116,POINT (-3.653116 40.462564)
1,https://www.pisos.com/alquilar/piso-almendrales28026-945856909995719_109800/,750.0,"Piso en alquiler en Calle del Amor Hermoso, 30, cerca de Calle de Marcelo Usera",Almendrales (Distrito Usera. Madrid Capital),35.0,30.0,1.0,1.0,2.0,Más de 50 años,A estrenar,,,,,Frío y calor,0,0,,0,0,,,https://fotos.imghs.net/l/1098/719/1098_0_foto_20230130115335032_945856909995719.jpg,40.387185,-3.704054,POINT (-3.704054 40.387185)
1,https://www.pisos.com/alquilar/piso-almendrales28026-27578542129_100500/,780.0,"Piso en alquiler en Calle del Amor Hermoso, cerca de Calle de Julio Merino",Almendrales (Distrito Usera. Madrid Capital),58.0,,2.0,1.0,2.0,,En buen estado,,,,,,0,0,,1,0,,,https://fotos.imghs.net/l/1005/774/1005_2001_20010001_774_1_2023030115031662662.jpeg,40.462564,-3.653116,POINT (-3.653116 40.462564)
1,https://www.pisos.com/alquilar/piso-centro_embajadores_lavapies28012-32507575115_100500/,950.0,Piso en alquiler en Calle del Amparo,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),60.0,,1.0,1.0,,,En buen estado,,,,,,0,0,,0,0,,,https://fotos.imghs.net/l/1005/538/1005_100778538_1_2023031322034184065.jpg,40.349367,-3.697248,POINT (-3.697248 40.349367)
1,https://www.pisos.com/alquilar/piso-centro_embajadores_lavapies28012-31717945840_100500/,850.0,"Piso en alquiler en Calle del Amparo, cerca de Calle del Sombrerete",Embajadores-Lavapiés (Distrito Centro. Madrid Capital),36.0,33.0,1.0,1.0,1.0,,En buen estado,,,,,,0,0,,0,0,,,https://fotos.imghs.net/l/1005/232/1005_3679232_1_2023022717020517230.jpg,40.349367,-3.697248,POINT (-3.697248 40.349367)
1,https://www.pisos.com/alquilar/piso-latina_carmenes28047-29172984257_100200/,850.0,"Piso en alquiler en Calle del Ánsar, cerca de Calle de Sepúlveda",Cármenes (Distrito Latina. Madrid Capital),42.0,,1.0,1.0,,,En buen estado,,,,Entre 20 y 40€,,0,0,,0,0,,,https://fotos.imghs.net/l/1002/864/1002_527864_3_2022111418114239228.jpeg,40.403931,-3.73879,POINT (-3.73879 40.403931)
2,https://www.pisos.com/alquilar/piso-centro_historico_la_merced29005-30921405206_990695/,1600.0,Piso en alquiler en Calle del Arquitecto Blanco Soler,Centro Histórico-La Merced (Distrito Centro. Málaga Capital),110.0,100.0,3.0,1.0,6.0,,En buen estado,,,,,Frío y calor,1,0,,0,0,,,https://fotos.imghs.net/l/990695/30921405206.990695/990695_30921405206_1_20230120140345056.jpg,36.749573,-4.066348,POINT (-4.066348 36.749573)
